filename,category,description,width,height,format,bytes,originalFilename,sourceUrl,sourcePage,originalSiteLabel,sha256
refinery.jpg,industrial-photos,Refinery and processing plant,7900,5267,JPEG,593241,refinery.jpg,https://imokong.com/refinery.jpg,https://imokong.com/,Homepage refinery banner,d331ac63836e2cc99ca394b47f78ba81b8163f22e56f751e6c00b8704c645d5f
factory-floor.jpg,industrial-photos,Factory production floor,6720,4480,JPEG,6531407,warehouse2.jpg,https://imokong.com/warehouse2.jpg,https://imokong.com/,Homepage warehouse banner,31e06c6626d28971ed5a5dcc6969b677a0bc2750e1a8c25dfc988231e0a9d8c0
warehouse-team.jpg,industrial-photos,Warehouse team planning shipments,5472,3648,JPEG,334265,shipment-manager-asking-warehouse-workers.jpg,https://imokong.com/shipment-manager-asking-warehouse-workers.jpg,https://imokong.com/,Warehouse team banner,dc5cef48786c5630e70dc7a8d41b795068b2f56a5331f866b874d30b8f5ae64d
truck-soap-noodles.png,industrial-photos,Truck loaded with bagged raw materials,1086,1132,PNG,342597,truck with pellets.png,https://imokong.com/truck%20with%20pellets.png,https://imokong.com/,Truck carrying soap noodles,4f34bb3817b11e5eb5c1579826ce6080b95724983d73939333bf5ac8a0dab95d
packing-station.jpg,industrial-photos,Packing and fulfilment station,5281,3521,JPEG,319671,packing2.jpg,https://imokong.com/packing2.jpg,https://imokong.com/,Homepage reliability background,c73895da81dff5c4afbeaee8f5c05022628feb95ecf483970e6f14442c8fa4b1
bulk-materials-warehouse.jpg,industrial-photos,Bulk materials warehouse,1180,626,JPEG,1025512,image 3.jpg,https://imokong.com/image%203.jpg,https://imokong.com/product-detail/raw/soap-making-noodles,Company and soap product showcase,eb104c6d635f739630dd6f21220e0e705f8693970ee0c286500cef4c0987751e
industrial-site-team.webp,industrial-photos,Team at an industrial processing site,1536,1024,WEBP,151054,about imoko.webp,https://imokong.com/about%20imoko.webp,https://imokong.com/about,About company image,227f84c5419a7e162b6f5f9d217354e9344b877dca30e71c84d9f86dca9f1a1d
supplier-partnership.png,industrial-photos,Supplier partnership,350,350,PNG,187899,image 9.png,https://imokong.com/image%209.png,https://imokong.com/about,Reliability illustration,da23770c453565fb1ced6fc056944fe6544ff674575fbc83fc49292e5886fae0
laboratory-quality-control.png,industrial-photos,Laboratory quality control,350,350,PNG,224832,image 10.png,https://imokong.com/image%2010.png,https://imokong.com/about,Quality illustration,8d79f1f08468215d65178a5e725189f7f5fb4c73b774a4a770c0b1ecae7ea08f
plant-technician.png,industrial-photos,Technician with processing equipment,350,350,PNG,249180,image 13.png,https://imokong.com/image%2013.png,https://imokong.com/about,Technical excellence illustration,ba9bd42dabbdd4ba875946d44bcc233cb5838b39381e45ed2ac4979fc2593b71
